INFO 2025-03-13 14:29:47,602 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-03-13 14:29:47,668 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 8985
INFO 2025-03-13 14:29:47,762 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-03-13 14:29:47,762 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-03-13 14:29:50,089 basehttp "GET /admin/accounts/user/1/change/ HTTP/1.1" 200 43716
INFO 2025-03-13 14:29:50,201 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 8985
INFO 2025-03-13 14:29:52,194 basehttp "GET /admin/accounts/user/1/change/ HTTP/1.1" 200 43716
INFO 2025-03-13 14:29:52,241 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-03-13 14:29:52,244 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-03-13 14:29:52,244 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-03-13 14:29:52,244 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-03-13 14:29:52,244 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-03-13 14:29:52,248 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-03-13 14:29:52,250 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-03-13 14:29:52,252 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-03-13 14:29:52,319 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 8985
INFO 2025-03-13 14:29:52,427 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-03-13 14:29:54,049 basehttp "GET /admin/ HTTP/1.1" 200 19319
INFO 2025-03-13 14:29:54,089 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-03-13 14:29:54,164 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
